a,b,c,d,,,,,,P11881
4ksy,2013,,STIMULATOR OF INTERFERON GENES PROTEIN,,,,,,
1f4e,2000,,THYMIDYLATE SYNTHASE,,,,,,
1f4f,2000,,THYMIDYLATE SYNTHASE,,,,,,
4lrr,2013,,THYMIDYLATE SYNTHASE,,,,,,
1f4g,2000,,THYMIDYLATE SYNTHASE,,,,,,
5ot9,2017,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
5ito,2016,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
5ot8,2017,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
4pp0,2014,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
5otc,2017,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
5itp,2016,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
4pox,2014,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
5ota,2017,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
4pow,2014,,NOPALINE-BINDING PERIPLASMIC PROTEIN,,,,,,
5qay,2018,,BETA-LACTAMASE,,,,,,
5qal,2018,,BETA-LACTAMASE,,,,,,
5qa8,2018,,BETA-LACTAMASE,,,,,,
5fnf,2016,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5fnd,2016,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5fnc,2016,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3b24,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4cwf,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3b27,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4cwo,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6eyb,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2qg2,2008,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4cwn,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2qg0,2008,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6ey8,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6ey9,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
1yet,1998,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3r4m,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j82,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6eln,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3b25,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4o04,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
1yc1,2005,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4bqg,2013,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6f1n,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6elo,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j8u,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3d0b,2008,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
1yc4,2005,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4xip,2015,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6elp,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3b26,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3eko,2008,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5odx,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j27,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4cwt,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4cwp,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j8m,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j64,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6el5,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3r4n,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4xir,2015,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4fcq,2012,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4cwq,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4xiq,2015,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3rlp,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4xit,2015,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4o07,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5lny,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3vha,2012,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3rlq,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6ei5,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4o05,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
6eya,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3ekr,2008,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3rlr,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4o09,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4egk,2012,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5nyh,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j2x,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j9x,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j6n,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j6l,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4cws,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3r4p,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2yi0,2012,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j86,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3hek,2009,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4cwr,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4o0b,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2yi7,2012,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2uwd,2007,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4nh7,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4nh8,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j6m,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3qdd,2012,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3vhc,2012,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5j20,2017,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3vhd,2012,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
3wha,2014,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2yki,2011,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4b7p,2013,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2we3,2009,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
4qjx,2015,,CARBONIC ANHYDRASE 13,,,,,,
4hu1,2013,,CARBONIC ANHYDRASE 13,,,,,,
4knn,2013,,CARBONIC ANHYDRASE 13,,,,,,
3czv,2008,,CARBONIC ANHYDRASE 13,,,,,,
4knm,2013,,CARBONIC ANHYDRASE 13,,,,,,
3q2j,2011,,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE,,,,,,
4yk0,2016,,CREB-BINDING PROTEIN,,,,,,
5mpz,2017,,CREB-BINDING PROTEIN,,,,,,
5h85,2017,,CREB-BINDING PROTEIN,,,,,,
5ep7,2016,,CREB-BINDING PROTEIN,,,,,,
5mqe,2017,,CREB-BINDING PROTEIN,,,,,,
5tb6,2016,,CREB-BINDING PROTEIN,,,,,,
5mme,2017,,CREB-BINDING PROTEIN,,,,,,
5eng,2016,,CREB-BINDING PROTEIN,,,,,,
5mmg,2017,,CREB-BINDING PROTEIN,,,,,,
4tqn,2015,,CREB-BINDING PROTEIN,,,,,,
5dbm,2016,,CREB-BINDING PROTEIN,,,,,,
5j0d,2016,,CREB-BINDING PROTEIN,,,,,,
5mpn,2018,,CREB-BINDING PROTEIN,,,,,,
5nlk,2018,,CREB-BINDING PROTEIN,,,,,,
5i8g,2016,,CREB-BINDING PROTEIN,,,,,,
5mpk,2018,,CREB-BINDING PROTEIN,,,,,,
1pzp,2004,,BETA-LACTAMASE TEM,,,,,,
4kp8,2013,,CARBONIC ANHYDRASE 12,,,,,,
4kp5,2013,,CARBONIC ANHYDRASE 12,,,,,,
4ht2,2013,,CARBONIC ANHYDRASE 12,,,,,,
4qj0,2015,,CARBONIC ANHYDRASE 12,,,,,,
5msb,2018,,CARBONIC ANHYDRASE 12,,,,,,
4qjw,2015,,CARBONIC ANHYDRASE 12,,,,,,
5llp,2017,,CARBONIC ANHYDRASE 12,,,,,,
5llo,2017,,CARBONIC ANHYDRASE 12,,,,,,
1s19,2004,,VITAMIN D3 RECEPTOR,,,,,,
1ie9,2001,,VITAMIN D3 RECEPTOR,,,,,,
3g2y,2009,,BETA-LACTAMASE CTX-M-9A,,,,,,
3g2z,2009,,BETA-LACTAMASE CTX-M-9A,,,,,,
3g30,2009,,BETA-LACTAMASE CTX-M-9A,,,,,,
3g31,2009,,BETA-LACTAMASE CTX-M-9A,,,,,,
3g34,2009,,BETA-LACTAMASE CTX-M-9A,,,,,,
3g32,2009,,BETA-LACTAMASE CTX-M-9A,,,,,,
4de2,2012,,BETA-LACTAMASE CTX-M-9A,,,,,,
3g35,2009,,BETA-LACTAMASE CTX-M-9A,,,,,,
4de0,2012,,BETA-LACTAMASE CTX-M-9A,,,,,,
4de1,2012,,BETA-LACTAMASE CTX-M-9A,,,,,,
2a14,2005,,INDOLETHYLAMINE N-METHYLTRANSFERASE,,,,,,
1a28,1998,,PROGESTERONE RECEPTOR,,,,,,
2w8y,2009,,PROGESTERONE RECEPTOR,,,,,,
1sr7,2004,,PROGESTERONE RECEPTOR,,,,,,
5org,2017,,OCTOPINE-BINDING PERIPLASMIC PROTEIN,,,,,,
5wcm,2017,,BLR6230 PROTEIN,,,,,,
2ogy,2007,,5-METHYLTETRAHYDROFOLATE CORRINOID/IRON SULFUR,,,,,,
2e7f,2007,,5-METHYLTETRAHYDROFOLATE CORRINOID/IRON SULFUR,,,,,,
6edr,2018,,ADP-RIBOSYL CYCLASE/CYCLIC ADP-RIBOSE HYDROLASE 1,,,,,,
3ocz,2011,,LIPOPROTEIN E,,,,,,
3ocp,2011,,PRKG1 PROTEIN,,,,,,
4z07,2016,,CGMP-DEPENDENT PROTEIN KINASE 1,,,,,,
3e6y,2009,,14-3-3-LIKE PROTEIN C,,,,,,
5nwi,2017,,14-3-3 C-1 PROTEIN,,,,,,
3ai8,2011,,CATHEPSIN B,,,,,,
2xxx,2011,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 2",,,,,,
2xxr,2011,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 2",,,,,,
2xxt,2011,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 2",,,,,,
2nmx,2007,,CARBONIC ANHYDRASE 1,,,,,,
2nn1,2007,,CARBONIC ANHYDRASE 1,,,,,,
6g3v,2018,,CARBONIC ANHYDRASE 1,,,,,,
1azm,1994,,CARBONIC ANHYDRASE 1,,,,,,
6faf,2018,,CARBONIC ANHYDRASE 1,,,,,,
2nn7,2007,,CARBONIC ANHYDRASE 1,,,,,,
6f3b,2018,,CARBONIC ANHYDRASE 1,,,,,,
3lxe,2010,,CARBONIC ANHYDRASE 1,,,,,,
6ex1,2018,,CARBONIC ANHYDRASE 1,,,,,,
6evr,2018,,CARBONIC ANHYDRASE 1,,,,,,
3fas,2008,,GLUTAMATE RECEPTOR 4,,,,,,
3fat,2008,,GLUTAMATE RECEPTOR 4,,,,,,
4non,2014,,FERROUS IRON UPTAKE TRANSPORTER PROTEIN B,,,,,,
4ymx,2015,,ABC-TYPE AMINO ACID TRANSPORT SYSTEM,,,,,,
1uvt,1997,,THROMBIN,,,,,,
1n4h,2003,,NUCLEAR RECEPTOR ROR-BETA,,,,,,
1nq7,2003,,NUCLEAR RECEPTOR ROR-BETA,,,,,,
3fvh,2009,,SERINE/THREONINE-PROTEIN KINASE PLK1,,,,,,
4.00E+67,2012,,SERINE/THREONINE-PROTEIN KINASE PLK1,,,,,,
4o9w,2014,,SERINE/THREONINE-PROTEIN KINASE PLK1,,,,,,
4o6w,2014,,SERINE/THREONINE-PROTEIN KINASE PLK1,,,,,,
2v25,2007,,MAJOR CELL-BINDING FACTOR,,,,,,
2wr8,2009,,PUTATIVE UNCHARACTERIZED PROTEIN PH0463,,,,,,
3hit,2009,,VACUOLAR SAPORIN,,,,,,
1lag,1995,,"LYSINE,ARGININE,ORNITHINE-BINDING PROTEIN",,,,,,
1lah,1995,,"LYSINE,ARGININE,ORNITHINE-BINDING PROTEIN",,,,,,
1lst,1994,,"LYSINE,ARGININE,ORNITHINE-BINDING PROTEIN",,,,,,
1laf,1995,,"LYSINE,ARGININE,ORNITHINE-BINDING PROTEIN",,,,,,
4qf9,2015,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
1vso,2007,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
2f35,2006,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
4dld,2012,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
4ymb,2015,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
3fuz,2010,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
3fvn,2010,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
3s2v,2011,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
2f34,2006,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
3gbb,2009,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
4e0x,2012,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
5neb,2017,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
3fv2,2010,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
2pbw,2007,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
2wky,2009,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
3fvk,2010,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
3gba,2009,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
3fv1,2010,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",,,,,,
2yfa,2012,,METHYL-ACCEPTING CHEMOTAXIS TRANSDUCER,,,,,,
3h8b,2009,,CATHEPSIN L1,,,,,,
3h89,2009,,CATHEPSIN L1,,,,,,
3re4,2012,,RIO-TYPE SERINE/THREONINE-PROTEIN KINASE RIO1,,,,,,
3s9e,2011,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",,,,,,
6f28,2018,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",,,,,,
4nwc,2014,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",,,,,,
3u93,2012,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",,,,,,
5o4f,2017,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",,,,,,
4g8n,2012,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",,,,,,
3u92,2012,,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",,,,,,
3udd,2012,,TANKYRASE-1,,,,,,
2q88,2008,,PUTATIVE ABC TRANSPORTER AMINO ACID-BINDING,,,,,,
2q89,2008,,PUTATIVE ABC TRANSPORTER AMINO ACID-BINDING,,,,,,
2vmc,2008,,DISCOIDIN-2,,,,,,
2vmd,2008,,DISCOIDIN-2,,,,,,
4lar,2013,,SINGLE HEAVY CHAIN VARIABLE FRAGMENT,,,,,,
3gm0,2009,,ANTI-METHAMPHETAMINE SINGLE CHAIN FV,,,,,,
3gkz,2009,,ANTI-METHAMPHETAMINE SINGLE CHAIN FV,,,,,,
4gqp,2013,,ANTI-METHAMPHETAMINE SINGLE CHAIN FV,,,,,,
3v3q,2012,,NUCLEAR RECEPTOR SUBFAMILY 4 GROUP A MEMBER 1,,,,,,
4bi6,2013,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
4bi7,2013,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
4bt5,2013,,ALPHA-ACETOLACTATE DECARBOXYLASE,,,,,,
4bt3,2013,,ALPHA-ACETOLACTATE DECARBOXYLASE,,,,,,
4bt4,2013,,ALPHA-ACETOLACTATE DECARBOXYLASE,,,,,,
5yas,1999,,HYDROXYNITRILE LYASE,,,,,,
5ave,2016,,METHYL-ACCEPTING CHEMOTAXIS (MCP) SIGNALING DOMAIN PROTEIN,,,,,,
5avf,2016,,METHYL-ACCEPTING CHEMOTAXIS (MCP) SIGNALING DOMAIN PROTEIN,,,,,,
6g98,2018,,CARBONIC ANHYDRASE 9,,,,,,
6g9u,2018,,CARBONIC ANHYDRASE 9,,,,,,
6fe0,2018,,CARBONIC ANHYDRASE 9,,,,,,
5fl4,2015,,CARBONIC ANHYDRASE 9,,,,,,
5fl6,2015,,CARBONIC ANHYDRASE 9,,,,,,
5fl5,2015,,CARBONIC ANHYDRASE 9,,,,,,
6fe1,2018,,CARBONIC ANHYDRASE 9,,,,,,
5ikb,2016,,"GLUTAMATE RECEPTOR IONOTROPIC, KAINATE 4,GLUTAMATE RECEPTOR",,,,,,
1wht,1994,,SERINE CARBOXYPEPTIDASE II,,,,,,
2xdl,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2xdk,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2xht,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
5vyy,2018,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2xdx,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2xjj,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2xjg,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2xjx,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
2xab,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4b5t,2012,,"4-HYDROXY-2-OXO-HEPTANE-1,7-DIOATE ALDOLASE",,,,,,
4b5w,2012,,"4-HYDROXY-2-OXO-HEPTANE-1,7-DIOATE ALDOLASE",,,,,,
4b5s,2012,,"4-HYDROXY-2-OXO-HEPTANE-1,7-DIOATE ALDOLASE",,,,,,
4ykk,2015,,ML032222A IGLUR,,,,,,
4ykj,2015,,ML032222A IGLUR,,,,,,
1p57,2004,,SERINE PROTEASE HEPSIN,,,,,,
1o5e,2004,,SERINE PROTEASE HEPSIN,,,,,,
2jfz,2007,,GLUTAMATE RACEMASE,,,,,,
3bxh,2008,,CENTRAL GLYCOLYTIC GENE REGULATOR,,,,,,
3bxg,2008,,CENTRAL GLYCOLYTIC GENE REGULATOR,,,,,,
3bxe,2008,,CENTRAL GLYCOLYTIC GENE REGULATOR,,,,,,
3bxf,2008,,CENTRAL GLYCOLYTIC GENE REGULATOR,,,,,,
4xxh,2015,,HTH-TYPE TRANSCRIPTIONAL REGULATOR TRER,,,,,,
4x8u,2015,,COAGULATION FACTOR VIIA,,,,,,
2flr,2007,,COAGULATION FACTOR VII,,,,,,
4x8v,2015,,COAGULATION FACTOR VIIA,,,,,,
2bz6,2006,,COAGULATION FACTOR VIIA,,,,,,
4na9,2014,,COAGULATION FACTOR VII,,,,,,
5u6j,2017,,COAGULATION FACTOR VII,,,,,,
4isi,2013,,COAGULATION FACTOR VII,,,,,,
2b7d,2006,,COAGULATION FACTOR VII,,,,,,
4ish,2013,,COAGULATION FACTOR VII,,,,,,
5l30,2016,,COAGULATION FACTOR VII,,,,,,
2y5h,2011,,COAGULATION FACTOR XA,,,,,,
2j94,2007,,COAGULATION FACTOR X,,,,,,
2bok,2005,,COAGULATION FACTOR X,,,,,,
2xc0,2010,,COAGULATION FACTOR XA,,,,,,
2uwp,2007,,COAGULATION FACTOR X,,,,,,
2y5g,2011,,COAGULATION FACTOR XA,,,,,,
1xka,1999,,COAGULATION FACTOR XA,,,,,,
2vwl,2009,,COAGULATION FACTOR XA,,,,,,
2vwm,2009,,COAGULATION FACTOR XA,,,,,,
1lpg,2003,,COAGULATION FACTOR XA,,,,,,
5k0h,2016,,COAGULATION FACTOR X,,,,,,
1g2l,2001,,COAGULATION FACTOR X,,,,,,
2j2u,2006,,COAGULATION FACTOR X,,,,,,
2vwo,2009,,COAGULATION FACTOR XA,,,,,,
1lpk,2003,,COAGULATION FACTOR XA,,,,,,
1lpz,2003,,COAGULATION FACTOR XA,,,,,,
3liw,2010,,COAGULATION FACTOR XA,,,,,,
1f0r,2000,,COAGULATION FACTOR XA,,,,,,
1f0s,2000,,COAGULATION FACTOR XA,,,,,,
1nfu,2003,,COAGULATION FACTOR XA,,,,,,
2ra0,2008,,COAGULATION FACTOR X,,,,,,
2xbx,2010,,COAGULATION FACTOR XA,,,,,,
2j34,2006,,COAGULATION FACTOR XA,,,,,,
4y79,2015,,COAGULATION FACTOR X,,,,,,
2vwn,2009,,COAGULATION FACTOR XA,,,,,,
2xbw,2010,,COAGULATION FACTOR XA,,,,,,
2jkh,2009,,COAGULATION FACTOR XA,,,,,,
2xc4,2010,,COAGULATION FACTOR XA,,,,,,
2y80,2011,,COAGULATION FACTOR XA,,,,,,
2vvu,2009,,COAGULATION FACTOR XA,,,,,,
2vvv,2009,,COAGULATION FACTOR XA,,,,,,
2uwl,2007,,COAGULATION FACTOR X,,,,,,
2j95,2007,,COAGULATION FACTOR XA,,,,,,
2y82,2011,,COAGULATION FACTOR XA,,,,,,
2xbv,2010,,COAGULATION FACTOR XA,,,,,,
2vh0,2008,,COAGULATION FACTOR XA,,,,,,
1nfx,2003,,COAGULATION FACTOR XA,,,,,,
2vvc,2009,,COAGULATION FACTOR XA,,,,,,
2boh,2006,,COAGULATION FACTOR XA,,,,,,
2y5f,2011,,COAGULATION FACTOR XA,,,,,,
2y7z,2011,,COAGULATION FACTOR XA,,,,,,
4a7i,2012,,COAGULATION FACTOR X,,,,,,
2y81,2011,,COAGULATION FACTOR XA,,,,,,
2uwo,2007,,COAGULATION FACTOR X,,,,,,
2wyg,2010,,COAGULATION FACTOR XA,,,,,,
1nfy,2003,,COAGULATION FACTOR XA,,,,,,
2y7x,2011,,COAGULATION FACTOR XA,,,,,,
1nfw,2003,,COAGULATION FACTOR XA,,,,,,
2j4i,2006,,COAGULATION FACTOR X,,,,,,
2wyj,2010,,COAGULATION FACTOR XA,,,,,,
1mq5,2003,,COAGULATION FACTOR X,,,,,,
3m37,2010,,COAGULATION FACTOR X,,,,,,
1ezq,2000,,COAGULATION FACTOR XA,,,,,,
3ffg,2009,,COAGULATION FACTOR X,,,,,,
2p95,2007,,COAGULATION FACTOR XA,,,,,,
2w26,2008,,COAGULATION FACTOR XA,,,,,,
1ksn,2002,,COAGULATION FACTOR XA,,,,,,
2vh6,2008,,COAGULATION FACTOR XA,,,,,,
1z6e,2006,,COAGULATION FACTOR XA,,,,,,
3m36,2010,,COAGULATION FACTOR X,,,,,,
1fjs,2000,,COAGULATION FACTOR XA,,,,,,
2p16,2007,,COAGULATION FACTOR X,,,,,,
3cs7,2008,,COAGULATION FACTOR X,,,,,,
1mq6,2003,,COAGULATION FACTOR XA,,,,,,
4xmr,2015,,PUTATIVE METHYL-ACCEPTING CHEMOTAXIS SIGNAL TRANSDU,,,,,,
4ewn,2012,,IMIDAZOLE GLYCEROL PHOSPHATE SYNTHASE SUBUNIT HISF,,,,,,
1rtf,1997,,TISSUE PLASMINOGEN ACTIVATOR,,,,,,
3g1v,2009,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
3w07,2013,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
3g1d,2009,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
1loq,2002,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
3wjw,2013,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
2zz1,2009,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
2zz2,2009,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
1km3,2002,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
1x1z,2005,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
3ouj,2010,,EGL NINE HOMOLOG 1,,,,,,
3uxd,2012,,KEMP ELIMINASE KE59 R1 7/10H,,,,,,
3uzj,2012,,KEMP ELIMINASE KE59 R13 3/11H,,,,,,
3uz5,2012,,KEMP ELIMINASE KE59 R13 3/11H,,,,,,
4myd,2014,,"2-SUCCINYL-6-HYDROXY-2,4-CYCLOHEXADIENE-1-CARBOXYLA",,,,,,
1amk,1997,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
2vxn,2009,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
2p7a,2008,,ESTROGEN-RELATED RECEPTOR GAMMA,,,,,,
2p7g,2008,,ESTROGEN-RELATED RECEPTOR GAMMA,,,,,,
2p7z,2008,,ESTROGEN-RELATED RECEPTOR GAMMA,,,,,,
2e2r,2007,,ESTROGEN-RELATED RECEPTOR GAMMA,,,,,,
3fj7,2009,,MAJOR ANTIGENIC PEPTIDE PEB3,,,,,,
3fjg,2009,,MAJOR ANTIGENIC PEPTIDE PEB3,,,,,,
3k97,2010,,HEAT SHOCK PROTEIN HSP90-ALPHA,,,,,,
4tim,1992,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
1iih,2001,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
2v2c,2008,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
2j27,2007,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
2v2h,2008,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
1kv5,2002,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
1trd,1993,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
1t7d,2004,,SIGNAL PEPTIDASE I,,,,,,
2h6b,2006,,CHLOROPHENOL REDUCTION GENE K,,,,,,
3e5u,2008,,CYCLIC NUCLEOTIDE-BINDING PROTEIN,,,,,,
3ozg,2011,,HYPOXANTHINE-GUANINE-XANTHINE PHOSPHORIBOSYLTRANSFE,,,,,,
2bq7,2006,,COAGULATION FACTOR X,,,,,,
3bex,2008,,TYPE III PANTOTHENATE KINASE,,,,,,
